79;TOULOUSE //Rouge;MONTPELLIER //Noir;SAINT NAZAIRE //Vert;QUIMPER //Vert;LA ROCHE S/ YON //Vert;SAINT MALO //Vert;TARBES //Vert;RODEZ //Vert;CAHORS //Vert;ALES //Vert;CARCASSONNE //Vert;MONTAUBAN //Rouge
80;PAU //Rouge;TOULOUSE //Rouge;BAYONNE //Noir;AGEN //Noir;MONT-DE-MARSAN //Vert;MEAUX //Orange;BETHUNE //Vert;VALENCIENNES //Vert;BOULOGNE SUR MER //Vert;;;
81;RENNES //Noir;ROUEN //Noir;LILLE //Rouge;ARRAS //Vert;SAINT BRIEUC //Orange;ORLEANS //Rouge;;;;;;
82;BOBIGNY //Rouge;CRETEIL //Rouge;MELUN //Noir;PONTOISE //Rouge;MEAUX //Orange;TROYES //Vert;EVRY //Rouge;AMIENS //Noir;BETHUNE //Vert;BOULOGNE SUR MER //Vert;BEAUVAIS //Vert;
83;AIX //Noir;TOULON //Orange;DRAGUIGNAN //Vert;AVIGNON //Noir;MARSEILLE //Rouge;VALENCE //Rouge;CARPENTRAS //Vert;;;;;
84;BOURGES //Orange;CHATEAUROUX //Vert;CRETEIL //Rouge;PARIS //Noir;CHARTRES //Orange;EVRY //Rouge;;;;;;
85;MELUN //Noir;MEAUX //Orange;EVRY //Rouge;PONTOISE //Rouge;TOULOUSE //Rouge;CHARTRES //Orange;;;;;;
86;AGEN //Noir;SAINTES //Vert;PAU //Rouge;PERIGUEUX //Rouge;BAYONNE //Noir;DAX //Orange;;;;;;
87;RENNES //Noir;SENLIS //Vert;NANTES  //Noir;ORLEANS //Rouge;POITIERS //Rouge;SAINTES //Vert;;;;;;
88;STRASBOURG //Rouge;LILLE //Rouge;ROUEN //Noir;BETHUNE //Vert;BOULOGNE SUR MER //Vert;NIMES //Rouge;;;;;;
89;SAINT BRIEUC //Orange;BREST //Orange;SAINT MALO //Vert;LORIENT //Rouge;QUIMPER //Vert;SAINT NAZAIRE //Vert;EVRY //Rouge;RENNES //Noir;;;;
90;RENNES //Noir;NANTES  //Noir;LE MANS //Rouge;LORIENT //Rouge;BREST //Orange;COUTANCES //Vert;ANGERS //Noir;EVREUX //Vert;AMIENS //Noir;LAVAL //Vert;QUIMPER //Vert;
91;BRIVE //Vert;LIMOGES //Vert;BAYONNE //Noir;PAU //Rouge;POITIERS //Rouge;RODEZ //Vert;;;;;;
92;TOULON //Orange;NICE //Rouge;NARBONNE //Orange;NIMES //Rouge;DRAGUIGNAN //Vert;SAINTES //Vert;;;;;;
93;NANTES  //Noir;ANGERS //Noir;ORLEANS //Rouge;CHALON SUR SAONE //Vert;POITIERS //Rouge;NANCY //Vert;DIJON //Noir;LA ROCHELLE  //Noir;LE MANS //Rouge;TROYES //Vert;STRASBOURG //Rouge;LILLE //Rouge
94;MELUN //Noir;PONTOISE //Rouge;STRASBOURG //Rouge;MEAUX //Orange;NANCY //Vert;MARSEILLE //Rouge;;;;;;
95;DOUAI //Orange;BETHUNE //Vert;COLMAR //Orange;SAVERNE //Vert;STRASBOURG //Rouge;POITIERS //Rouge;;;;;;
96;AIX //Noir;MONTPELLIER //Noir;NICE //Rouge;NIMES //Rouge;TOULON //Orange;DRAGUIGNAN //Vert;GRASSE //Rouge;LYON //Noir;AVIGNON //Noir;;;
97;STRASBOURG //Rouge;METZ //Rouge;COLMAR //Orange;SARREGUEMINES //Vert;SAVERNE //Vert;THIONVILLE //Vert;;;;;;
98;VIENNE //Noir;VILLEFRANCHE SUR SAONE //Vert;SAINT-ETIENNE //Orange;BOURG/BRES. //Vert;BOURGOIN JALLIEU //Vert;MACON //Vert;VALENCE //Rouge;;;;;
99;LILLE //Rouge;LA ROCHELLE  //Noir;POITIERS //Rouge;ORLEANS //Rouge;BOULOGNE SUR MER //Vert;EVREUX //Vert;AMIENS //Noir;TROYES //Vert;;;;
100;LORIENT //Rouge;RENNES //Noir;LE MANS //Rouge;ANGERS //Noir;CHARTRES //Orange;EVREUX //Vert;ORLEANS //Rouge;POITIERS //Rouge;TROYES //Vert;NANCY //Vert;;
101;ANGERS //Noir;MONTPELLIER //Noir;NIMES //Rouge;CHAMBERY //Rouge;TROYES //Vert;NANCY //Vert;;;;;;
102;MARSEILLE //Rouge;TOULOUSE //Rouge;LILLE //Rouge;STRASBOURG //Rouge;NANCY //Vert;BASTIA //Orange;SAINT BRIEUC //Orange;BREST //Orange;BETHUNE //Vert;BOULOGNE SUR MER //Vert;QUIMPER //Vert;VALENCIENNES //Vert
103;NIMES //Rouge;ORLEANS //Rouge;ROUEN //Noir;NANCY //Vert;LE HAVRE //Noir;SAINT-ETIENNE //Orange;;;;;;
104;ANNECY //Noir;CHAMBERY //Rouge;GRENOBLE //Rouge;VALENCE //Rouge;DRAGUIGNAN //Vert;THONON LES BAINS //Vert;ALBERTVILLE //Vert;MACON //Vert;;;;
105;ROUEN //Noir;LE HAVRE //Noir;EVREUX //Vert;DIEPPE //Vert;PONTOISE //Rouge;LISIEUX //Vert;;;;;;
106;STRASBOURG //Rouge;LILLE //Rouge;DIJON //Noir;METZ //Rouge;COLMAR //Orange;EVREUX //Vert;AMIENS //Noir;ORLEANS //Rouge;PONTOISE //Rouge;POITIERS //Rouge;BEAUVAIS //Vert;SAINT-QUENTIN //Vert
107;GRASSE //Rouge;SAINT NAZAIRE //Vert;NANTES  //Noir;POITIERS //Rouge;STRASBOURG //Rouge;CLERMONT FERRAND //Vert;;;;;;
108;LE MANS //Rouge;TOURS //Noir;ANGERS //Noir;SAINTES //Vert;CHARTRES //Orange;ALENCON //Vert;;;;;;
109;RENNES //Noir;ANGERS //Noir;POITIERS //Rouge;CLERMONT FERRAND //Vert;LIMOGES //Vert;BREST //Orange;SAINT MALO //Vert;BERGERAC //Vert;RODEZ //Vert;;;
110;NANTERRE //Noir;PONTOISE //Rouge;ANGERS //Noir;POITIERS //Rouge;AUXERRE //Vert;TOULON //Orange;;;;;;
111;BOURG/BRES. //Vert;GRENOBLE //Rouge;LA ROCHELLE  //Noir;POITIERS //Rouge;ANNECY //Noir;QUIMPER //Vert;;;;;;
112;BAYONNE //Noir;PAU //Rouge;AGEN //Noir;PERPIGNAN //Rouge;MONT-DE-MARSAN //Vert;NARBONNE //Orange;POITIERS //Rouge;CLERMONT FERRAND //Vert;;;;
113;VALENCE //Rouge;BOURG/BRES. //Vert;SAINT-ETIENNE //Orange;LYON //Noir;GRENOBLE //Rouge;ANNECY //Noir;;;;;;
114;PARIS //Noir;PONTOISE //Rouge;BOBIGNY //Rouge;LILLE //Rouge;NANCY //Vert;SAINT MALO //Vert;SAINT NAZAIRE //Vert;DOUAI //Orange;BELFORT //Orange;ARRAS //Vert;BEAUVAIS //Vert;ANNECY //Noir
115;LILLE //Rouge;DOUAI //Orange;VALENCIENNES //Vert;DUNKERQUE //Rouge;BETHUNE //Vert;ARRAS //Vert;;;;;;
116;LILLE //Rouge;DOUAI //Orange;VALENCIENNES //Vert;DUNKERQUE //Rouge;BETHUNE //Vert;ARRAS //Vert;;;;;;
