Identifiant,Ville obtenue,Rang du voeu satisfait,Voeu 1,Voeu 2,Voeu 3,Voeu 4,Voeu 5,Voeu 6
79,COUTANCES,5,ANGERS,LORIENT,SAINTES,POITIERS,COUTANCES,CLERMONT-FERRAND
167,COUTANCES,6,AJACCIO,BASTIA,LA ROCHE-SUR-YON,BREST,SAINT-NAZAIRE,COUTANCES
86,CRETEIL,2,MARSEILLE,CRETEIL,MEAUX,LILLE,SAINT-NAZAIRE,BOULOGNE-SUR-MER
112,CRETEIL,1,CRETEIL,MARSEILLE,TOULOUSE,LYON,NANCY,BEAUVAIS
124,CRETEIL,1,CRETEIL,NANTERRE,EVRY,PONTOISE,NANCY,BEAUVAIS
208,CRETEIL,1,CRETEIL,LILLE,POITIERS,ORLEANS,BOULOGNE-SUR-MER,LISIEUX
233,CRETEIL,1,CRETEIL,BOBIGNY,EVRY,LILLE,NANCY,SENLIS
23,DIEPPE,2,AMIENS,DIEPPE,REIMS,SAINT-QUENTIN,LAON,SOISSONS
54,DIGNE-LES-BAINS,2,CARPENTRAS,DIGNE-LES-BAINS,MARSEILLE,AVIGNON,TOULON,GAP
135,DIJON,2,GRENOBLE,DIJON,BOURG-EN-BRESSE,THONON-LES-BAINS,CLERMONT-FERRAND,GAP
177,DIJON,2,ANGERS,DIJON,LILLE,TOULON,CLERMONT-FERRAND,NANCY
21,DOUAI,1,DOUAI,VALENCIENNES,ARRAS,BETHUNE,BOULOGNE-SUR-MER,AVESNES-SUR-HELPE
111,DOUAI,2,ARRAS,DOUAI,BETHUNE,DUNKERQUE,BOULOGNE-SUR-MER,SAINT-NAZAIRE
55,DRAGUIGNAN,1,DRAGUIGNAN,AVIGNON,BASTIA,DIGNE-LES-BAINS,GAP,CHAMBERY
83,DRAGUIGNAN,2,TOULON,DRAGUIGNAN,NICE,GRASSE,PRIVAS,DIGNE-LES-BAINS
97,DRAGUIGNAN,1,DRAGUIGNAN,AVIGNON,NICE,GRASSE,GAP,DIGNE-LES-BAINS
196,DRAGUIGNAN,1,DRAGUIGNAN,AVIGNON,GRASSE,PAU,NICE,PERPIGNAN
158,DUNKERQUE,4,NIMES,NICE,MARSEILLE,DUNKERQUE,LES SABLES-D'OLONNE,BOULOGNE-SUR-MER
163,DUNKERQUE,4,LORIENT,LE HAVRE,RENNES,DUNKERQUE,BOULOGNE-SUR-MER,COUTANCES
303,DUNKERQUE,1,DUNKERQUE,CAEN,STRASBOURG,NANCY,ROUEN,BOULOGNE-SUR-MER
33,EVREUX,1,EVREUX,ORLEANS,CHARTRES,ROUEN,AUXERRE,SENLIS
117,EVREUX,1,EVREUX,AMIENS,ORLEANS,LE HAVRE,LIMOGES,SAINT-NAZAIRE
22,EVRY,3,NANTERRE,CRETEIL,EVRY,PONTOISE,METZ,NANCY
107,EVRY,2,CRETEIL,EVRY,MARSEILLE,TOULON,NANCY,METZ
280,EVRY,3,NANTERRE,CRETEIL,EVRY,LILLE,BEAUVAIS,NANCY
281,EVRY,1,EVRY,BOBIGNY,NANTERRE,PONTOISE,SENLIS,SOISSONS
74,GAP,3,CHAMBERY,VALENCE,GAP,BOURGOIN-JALLIEU,LYON,ALBERTVILLE
41,GRASSE,1,GRASSE,TOULON,BAYONNE,PAU,PERPIGNAN,LA ROCHELLE
168,GRASSE,1,GRASSE,NICE,MARSEILLE,AVIGNON,SAINT-NAZAIRE,CLERMONT-FERRAND
183,GRASSE,1,GRASSE,MARSEILLE,NICE,NIORT,DRAGUIGNAN,DIGNE-LES-BAINS
249,GRASSE,2,TOULON,GRASSE,DRAGUIGNAN,NARBONNE,PERPIGNAN,PAU
25,GRENOBLE,1,GRENOBLE,CAEN,TOULON,QUIMPER,LE PUY-EN-VELAY,NANCY
242,GRENOBLE,1,GRENOBLE,BOURGOIN-JALLIEU,MARSEILLE,TOULON,LIMOGES,METZ
