80;PARIS;CRETEIL;EVRY;PONTOISE;NIORT;PAU
81;MARSEILLE;NICE;TOULON;LILLE;SAINT-NAZAIRE;BOULOGNE-SUR-MER
82;STRASBOURG;LILLE;LYON;ANGERS;NANCY;BEAUVAIS
83;TOULON;DRAGUIGNAN;NICE;GRASSE;PRIVAS;DIGNE-LES-BAINS
84;TOULOUSE;BAYONNE;PERPIGNAN;MONTPELLIER;LILLE;ALBI
85;SAVERNE;COLMAR;SARREGUEMINES;VILLEFRANCHE-SUR-SAONE;NIORT;LES SABLES-D'OLONNE
86;MARSEILLE;CRETEIL;MEAUX;LILLE;SAINT-NAZAIRE;BOULOGNE-SUR-MER
87;MARSEILLE;NICE;TOULOUSE;LILLE;NANCY;METZ
88;TOULON;NIMES;VALENCE;SAINT-ETIENNE;CLERMONT-FERRAND;NANCY
89;TOURS;ANGERS;CLERMONT-FERRAND;POITIERS;LIMOGES;LILLE
90;LORIENT;MARSEILLE;NICE;LYON;NANCY;LES SABLES-D'OLONNE
91;AVIGNON;VALENCE;LYON;MARSEILLE;PRIVAS;BEAUVAIS
92;BOURG-EN-BRESSE;VALENCE;SAINT-ETIENNE;DIJON;CLERMONT-FERRAND;LONS-LE-SAUNIER
93;BAR-LE-DUC;NANCY;METZ;CHALONS-EN-CHAMPAGNE;SAVERNE;TROYES
94;ANGOULEME;PERIGUEUX;POITIERS;LIMOGES;PAU;BERGERAC
95;RENNES;QUIMPER;TARASCON;BREST;COUTANCES;SAINT-NAZAIRE
96;LYON;VILLEFRANCHE-SUR-SAONE;SAINT-ETIENNE;VALENCE;ROANNE;LONS-LE-SAUNIER
97;DRAGUIGNAN;AVIGNON;NICE;GRASSE;GAP;DIGNE-LES-BAINS
98;AUCH;AGEN;BERGERAC;ALBI;CAHORS;TOULOUSE
99;ALBI;CAHORS;MONTAUBAN;AJACCIO;ALES;AUCH
100;LYON;SAINT-ETIENNE;VILLEFRANCHE-SUR-SAONE;MACON;CLERMONT-FERRAND;ROANNE
101;ARRAS;DUNKERQUE;DOUAI;LE HAVRE;LES SABLES-D'OLONNE;CHARLEVILLE-MEZIERES
102;AVIGNON;NIMES;PONTOISE;EVRY;SENLIS;BEAUVAIS
103;PERPIGNAN;NARBONNE;CARPENTRAS;AVIGNON;NIMES;LES SABLES-D'OLONNE
104;BOBIGNY;PONTOISE;EVRY;LILLE;BEAUVAIS;SENLIS
105;TOURS;ANGERS;LE MANS;LILLE;NANCY;METZ
106;TOULON;PERPIGNAN;NARBONNE;BEZIERS;AVIGNON;PAU
107;CRETEIL;EVRY;MARSEILLE;TOULON;NANCY;METZ
108;VALENCE;GRENOBLE;SAINT-ETIENNE;CARPENTRAS;GAP;LE PUY-EN-VELAY
109;NANTERRE;CRETEIL;PONTOISE;EVRY;BEAUVAIS;SENLIS
110;BAYONNE;LA ROCHELLE;PAU;MONT-DE-MARSAN;PERIGUEUX;TARBES
111;ARRAS;DOUAI;BETHUNE;DUNKERQUE;BOULOGNE-SUR-MER;SAINT-NAZAIRE
112;CRETEIL;MARSEILLE;TOULOUSE;LYON;NANCY;BEAUVAIS
113;CHALONS-EN-CHAMPAGNE;LAON;SOISSONS;NANCY;SAINT-QUENTIN;CHARLEVILLE-MEZIERES
114;STRASBOURG;AVIGNON;PERPIGNAN;PONTOISE;PERIGUEUX;ALBI
115;POITIERS;ANGERS;SAINT-ETIENNE;LILLE;PAU;SAINT-NAZAIRE
116;PONTOISE;COMPIEGNE;NANTERRE;LILLE;NANCY;METZ
117;EVREUX;AMIENS;ORLEANS;LE HAVRE;LIMOGES;SAINT-NAZAIRE
118;VILLEFRANCHE-SUR-SAONE;BOURG-EN-BRESSE;MACON;NEVERS;MOULINS;ROANNE
119;LE MANS;ANGERS;ORLEANS;POITIERS;CLERMONT-FERRAND;CHATEAUROUX
120;COLMAR;SAVERNE;MULHOUSE;NANCY;METZ;AMIENS
121;COLMAR;MULHOUSE;DIJON;NANCY;METZ;LILLE
122;TOULON;NICE;GRENOBLE;GRASSE;NANCY;CLERMONT-FERRAND
123;BESANCON;NANCY;COLMAR;METZ;BOURG-EN-BRESSE;TROYES
124;CRETEIL;NANTERRE;EVRY;PONTOISE;NANCY;BEAUVAIS
125;ANGERS;LAVAL;RENNES;BREST;PAU;NANCY
126;AMIENS;MEAUX;TROYES;VALENCIENNES;BEAUVAIS;NANCY
127;BOURG-EN-BRESSE;CLERMONT-FERRAND;METZ;NANCY;GRENOBLE;MULHOUSE
128;ANGERS;TOURS;POITIERS;TROYES;NANCY;SAINT-NAZAIRE
129;STRASBOURG;COLMAR;BELFORT;SAVERNE;VESOUL;NANCY
130;ANGOULEME;SAINTES;BAYONNE;PERIGUEUX;BRIVE-LA-GAILLARDE;PAU
131;BAYONNE;TOULOUSE;MONTPELLIER;PAU;DRAGUIGNAN;PERPIGNAN
132;MELUN;NANTERRE;PONTOISE;EVRY;NANCY;BOULOGNE-SUR-MER
133;LE HAVRE;CAEN;ANGERS;LE MANS;LISIEUX;SAINT-NAZAIRE
134;MONTPELLIER;NIMES;BEZIERS;NARBONNE;COUTANCES;PERPIGNAN
135;GRENOBLE;DIJON;BOURG-EN-BRESSE;THONON-LES-BAINS;CLERMONT-FERRAND;GAP
136;RENNES;LILLE;LE HAVRE;CAEN;SAINT-NAZAIRE;BOULOGNE-SUR-MER
137;BETHUNE;DOUAI;VALENCIENNES;ARRAS;NANCY;METZ
138;RENNES;NANTERRE;LAVAL;PONTOISE;NANCY;METZ
139;NIMES;NICE;NARBONNE;QUIMPER;ALBI;PAU
140;COUTANCES;CHERBOURG;ALENCON;ARGENTAN;CAEN;LAVAL
141;VANNES;LORIENT;LAVAL;LA ROCHE-SUR-YON;NIORT;COUTANCES
142;ARRAS;LILLE;DUNKERQUE;CRETEIL;NANCY;BOULOGNE-SUR-MER
143;LILLE;TOURS;CAEN;BREST;METZ;SAINT-NAZAIRE
